stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000077,77,Quarry Road,,53.3613091819025,-6.28957365234688,,,,
8220DB000078,78,Cabra Road,,53.361149,-6.284066,,,,
8220DB000079,79,Phibsborough Luas,,53.361021,-6.280796,,,,
8220DB000080,80,Phibsborough Church,,53.360863,-6.276054,,,,
8220DB000081,81,Phibsborough,,53.3608757479059,-6.27196662691607,,,,
8220DB000082,82,Doyle's Corner,,53.360798,-6.271549,,,,
8220DB000083,83,The Mater Hospital,,53.360279,-6.265545,,,,
8220DB000084,84,Synnott Row,,53.360163,-6.263702,,,,
8220DB000085,85,Home Farm Road East,,53.373958,-6.251913,,,,
8220DB000087,87,Clare Road,,53.3767517255719,-6.2548802899246,,,,
8220DB000088,88,Walnut Rise,,53.3772872552991,-6.2576992286456,,,,
8220DB000090,90,Albert College Court,,53.3863855316738,-6.26526567275522,,,,
8220DB000091,91,Ballymun Road NS,,53.3884278896483,-6.26540814207682,,,,
8220DB000092,92,Ballymun Library,,53.3898373340512,-6.26467424036105,,,,
8220DB000093,93,Gateway Avenue,,53.3923014677497,-6.26415297561013,,,,
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,
8220DB000104,104,Poppintree Parade,,53.399771,-6.276819,,,,
8220DB000105,105,Belclare Park,,53.4029363966818,-6.28169269646949,,,,
8220DB000107,107,Crannogue Road,,53.4023798987989,-6.28049690990612,,,,
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,
8220DB000115,115,Ballymun Road Church,,53.3879640919871,-6.26503610048148,,,,
8220DB000116,116,Griffith Lawns,,53.3776934606436,-6.25966673989336,,,,
8220DB000117,117,Walnut Rise,,53.3773659067251,-6.25754570845526,,,,
8220DB000118,118,Clare Road,,53.3766430016908,-6.25359209857681,,,,
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,
8220DB000126,126,Nursing Home,,53.3990954666854,-6.26408696056045,,,,
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,
8220DB000128,128,Glasnevin Avenue,,53.3892678697418,-6.26568972261117,,,,
8220DB000129,129,Glasnevin Drive,,53.3898903154474,-6.27142293606878,,,,
8220DB000130,130,Glasnevin Park,,53.3900920127596,-6.27418126942505,,,,
8220DB000131,131,Willow Park Road,,53.3903858902624,-6.27834923697209,,,,
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,
8220DB000133,133,Grove Park Road,,53.3907969275881,-6.28630150947292,,,,
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,
8220DB000136,136,McKee Road,,53.3943802013894,-6.28985659650009,,,,
8220DB000137,137,Clancy Avenue,,53.3923167196303,-6.29263079481432,,,,
8220DB000138,138,St Canice's BNS,,53.3899950092672,-6.29180657264741,,,,
8220DB000139,139,Grove Park Road,,53.3906014624241,-6.28645971748872,,,,
8220DB000140,140,Beneavin Park,,53.3906344923641,-6.28250404674216,,,,
8220DB000141,141,Willow Park Road,,53.3904450850916,-6.27809124468715,,,,
8220DB000142,142,Glasnevin Park,,53.3901982852621,-6.27407172195534,,,,
8220DB000143,143,Willow Park Avenue,,53.389876708405,-6.2692433699802,,,,
8220DB000146,146,Na Fianna GAA Club,,53.3750401276319,-6.26509558567468,,,,
8220DB000147,147,Tolka Bridge,,53.37248,-6.265831,,,,
8220DB000148,148,Mobhi Road,,53.3706701663468,-6.26806850705825,,,,
8220DB000149,149,Tolka Bridge,,53.373139,-6.265985,,,,
8220DB000150,150,Na Fianna GAA Club,,53.3756588461862,-6.26499528302822,,,,
8220DB000151,151,Botanic Gardens,,53.3719552600192,-6.26929382771155,,,,
8220DB000153,153,Met Éireann,,53.375689,-6.270134,,,,
8220DB000154,154,Cremore Avenue,,53.377259,-6.275557,,,,
8220DB000155,155,Old Finglas Road,,53.37792,-6.27951,,,,
8220DB000156,156,Northland Grove,,53.378623,-6.281665,,,,
8220DB000157,157,Tolka Estate,,53.380412,-6.281638,,,,
8220DB000158,158,Griffith Road,,53.3814819498289,-6.28356395405038,,,,
8220DB000159,159,Griffith Parade,,53.3827837191573,-6.28283511246108,,,,
8220DB000164,164,Beneavin Road,,53.3884303639456,-6.28048792293046,,,,
8220DB000165,165,Beneavin Park,,53.3890348746718,-6.28377124881097,,,,
8220DB000166,166,Beneavin School,,53.3895835973683,-6.28630514857364,,,,
8220DB000167,167,Beneavin Road,,53.3901866021356,-6.28698758531706,,,,
8220DB000168,168,Beneavin Park,,53.3892599668872,-6.28442373469442,,,,
8220DB000169,169,Beneavin Court,,53.3884339346693,-6.28011190995853,,,,
8220DB000173,173,Glasnamana Place,,53.382122,-6.280547,,,,
8220DB000174,174,Tolka Estate,,53.3806803549474,-6.28095056210771,,,,
8220DB000175,175,Northland Grove,,53.378424,-6.281568,,,,
8220DB000176,176,Old Finglas Road,,53.378032,-6.279299,,,,
8220DB000177,177,Glasilawn Road,,53.380468,-6.276224,,,,
8220DB000178,178,Ballygall Road East,,53.38189,-6.276347,,,,
8220DB000179,179,Glasilawn Road,,53.380303,-6.276005,,,,
8220DB000180,180,Cremore Crescent,,53.3784395640865,-6.2763961751655,,,,
8220DB000181,181,Cremore Avenue,,53.37715,-6.274224,,,,
8220DB000182,182,Met Éireann,,53.375657,-6.269805,,,,
8220DB000183,183,Botanic Gardens,,53.3723159291215,-6.26875318486038,,,,
8220DB000184,184,Fairfield Road,,53.369704,-6.268979,,,,
8220DB000185,185,Wayfinding Centre,,53.368101,-6.270021,,,,
8220DB000186,186,Hart's Corner,,53.365355,-6.27159,,,,
8220DB000187,187,Munster Street,,53.362734,-6.272447,,,,
8220DB000188,188,Doyle's Corner,,53.360121,-6.272583,,,,
8220DB000189,189,Phibsborough Road,,53.357167,-6.273469,,,,
8220DB000190,190,Broadstone,,53.3551257304144,-6.27337107400574,,,,
8220DB000191,191,Western Way,,53.3550179485755,-6.26903378050291,,,,
8220DB000192,192,Mountjoy Street,,53.3563972112359,-6.26807646963914,,,,
8220DB000193,193,Finglas Park,,53.3911963059787,-6.29410403487394,,,,
8220DB000194,194,Western Way,,53.3550406495518,-6.26997931103774,,,,
8220DB000195,195,Broadstone,,53.3550117778767,-6.27357097973096,,,,
8220DB000196,196,Phibsborough Road,,53.356884,-6.273751,,,,
8220DB000197,197,Monck Place,,53.358952631612,-6.27323137351172,,,,
8220DB000198,198,Doyle's Corner,,53.361625,-6.272838,,,,
8220DB000199,199,Munster Street,,53.3636218114982,-6.27229124622519,,,,
8220DB000200,200,Prospect Way,,53.367423,-6.271596,,,,
8220DB000201,201,Wayfinding Centre,,53.368291,-6.270119,,,,
8220DB000202,202,Fairfield Road,,53.37008,-6.268904,,,,
8220DB000203,203,Whitehall Village,,53.376393,-6.25001,,,,
8220DB000204,204,Plunket College,,53.379588,-6.246662,,,,
8220DB000205,205,Iveragh Road,,53.381375,-6.245326,,,,
8220DB000206,206,Larkhill Road,,53.383546,-6.247477,,,,
8220DB000207,207,Larkhill Road,,53.3848216307362,-6.24987478276802,,,,
8220DB000208,208,Glendun Road,,53.3866539303158,-6.24795040815756,,,,
8220DB000209,209,Larkhill Road,,53.387271110529,-6.24591044728042,,,,
8220DB000210,210,Crestfield Road,,53.3875940812728,-6.24831772849056,,,,
8220DB000211,211,Falcarragh Road,,53.384281,-6.24916,,,,
8220DB000212,212,Larkhill Road,,53.383196,-6.246258,,,,
8220DB000213,213,Iveragh Road,,53.3814495440234,-6.24487202356896,,,,
8220DB000214,214,Plunket College,,53.379408,-6.246655,,,,
8220DB000215,215,Whitehall Cross,,53.381872,-6.242449,,,,
8220DB000216,216,Yellow Road,,53.382331,-6.238191,,,,
8220DB000217,217,Grace Park Court,,53.384324,-6.236801,,,,
8220DB000218,218,Shantalla Road,,53.3859238989699,-6.2337883241109,,,,
8220DB000220,220,Shantalla Bridge,,53.38794,-6.244981,,,,
8220DB000228,228,Shanliss Road,,53.391877392779,-6.25971957291398,,,,
8220DB000233,233,Shantalla Road,,53.385821,-6.233537,,,,
8220DB000234,234,Beaumont Grove,,53.3849504827242,-6.23482084271804,,,,
8220DB000235,235,Grace Park Court,,53.383297,-6.237249,,,,
8220DB000236,236,Yellow Road,,53.3820247430957,-6.23815886003786,,,,
8220DB000237,237,Whitehall Cross,,53.382032,-6.243525,,,,
8220DB000242,242,Coolgreena Road,,53.385655,-6.23201,,,,
8220DB000243,243,Beaumont Crescent,,53.38578,-6.22954,,,,
8220DB000244,244,Skelly's Lane,,53.3849982136853,-6.22349851566417,,,,
8220DB000245,245,Whitethorn Rise,,53.384472,-6.219567,,,,
8220DB000246,246,Artaine Castle,,53.385151,-6.216231,,,,
8220DB000247,247,Maryfield Drive,,53.386976,-6.214501,,,,
8220DB000248,248,Maryfield Drive,,53.3855645601725,-6.21446963135785,,,,
8220DB000249,249,Artaine Castle,,53.384934,-6.21615,,,,
8220DB000250,250,Whitethorn Rise,,53.384419,-6.220245,,,,
8220DB000251,251,Skelly's Lane,,53.384832,-6.22322,,,,
8220DB000252,252,Beaumont Crescent,,53.385568,-6.22797,,,,
8220DB000253,253,Beaumont Hospital,,53.3899625746413,-6.22429914227646,,,,
8220DB000254,254,Beaumont Hospital,,53.3902652984433,-6.22410611366838,,,,
8220DB000255,255,Coolgreena Road,,53.385594,-6.231532,,,,
8220DB000259,259,Grace Park Road,,53.3740108657416,-6.24388537443071,,,,
8220DB000260,260,Parnell Square East,,53.3542939896038,-6.26312912620226,,,,
8220DB000261,261,Parnell Square East,,53.354056,-6.262853,,,,
8220DB000262,262,Parnell Square East,,53.353947,-6.262753,,,,
8220DB000263,263,Parnell Square East,,53.353746,-6.262505,,,,
8220DB000264,264,Parnell Square East,,53.353316,-6.26197,,,,
8220DB000265,265,Parnell Square East,,53.353122,-6.261658,,,,
8220DB000270,270,O'Connell Street Upper,,53.350623,-6.260424,,,,
